Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Host_Country,Tournament_Decade,Goal_Difference,Match_Outcome,Home_Win,Away_Win,Draw,Winning_Margin,Stage_Normalized,Is_Knockout,Goals_Per_Match,Tournament_Number,Is_Host_Match,Went_To_Extra_Time,Decided_On_Penalties,Went_To_Shootout,Match_Importance,Home_Continent,Away_Continent,Host_Continent
1930,1930-07-13 15:00:00,Group Stage,Pocitos,Montevideo ,France,4.0,1.0,Mexico,,Uruguay,1930,3.0,Home Win,True,False,False,Rout,Group Stage,False,5.0,1,False,False,False,False,1,Europe,North America,South America
1930,1930-07-13 15:00:00,Group Stage,Parque Central,Montevideo ,United States,3.0,0.0,Belgium,,Uruguay,1930,3.0,Home Win,True,False,False,Rout,Group Stage,False,3.0,1,False,False,False,False,1,North America,Europe,South America
1930,1930-07-14 12:45:00,Group Stage,Parque Central,Montevideo ,Yugoslavia,2.0,1.0,Brazil,,Uruguay,1930,1.0,Home Win,True,False,False,Narrow,Group Stage,False,3.0,1,False,False,False,False,1,Europe,South America,South America
1930,1930-07-14 14:50:00,Group Stage,Pocitos,Montevideo ,Romania,3.0,1.0,Peru,,Uruguay,1930,2.0,Home Win,True,False,False,Clear,Group Stage,False,4.0,1,False,False,False,False,1,Europe,South America,South America
1930,1930-07-15 16:00:00,Group Stage,Parque Central,Montevideo ,Argentina,1.0,0.0,France,,Uruguay,1930,1.0,Home Win,True,False,False,Narrow,Group Stage,False,1.0,1,False,False,False,False,1,South America,Europe,South America
1930,1930-07-16 14:45:00,Group Stage,Parque Central,Montevideo ,Chile,3.0,0.0,Mexico,,Uruguay,1930,3.0,Home Win,True,False,False,Rout,Group Stage,False,3.0,1,False,False,False,False,1,South America,North America,South America
1930,1930-07-17 12:45:00,Group Stage,Parque Central,Montevideo ,Yugoslavia,4.0,0.0,Bolivia,,Uruguay,1930,4.0,Home Win,True,False,False,Rout,Group Stage,False,4.0,1,False,False,False,False,1,Europe,South America,South America
1930,1930-07-17 14:45:00,Group Stage,Parque Central,Montevideo ,United States,3.0,0.0,Paraguay,,Uruguay,1930,3.0,Home Win,True,False,False,Rout,Group Stage,False,3.0,1,False,False,False,False,1,North America,South America,South America
1930,1930-07-18 14:30:00,Group Stage,Estadio Centenario,Montevideo ,Uruguay,1.0,0.0,Peru,,Uruguay,1930,1.0,Home Win,True,False,False,Narrow,Group Stage,False,1.0,1,True,False,False,False,1,South America,South America,South America
1930,1930-07-19 12:50:00,Group Stage,Estadio Centenario,Montevideo ,Chile,1.0,0.0,France,,Uruguay,1930,1.0,Home Win,True,False,False,Narrow,Group Stage,False,1.0,1,False,False,False,False,1,South America,Europe,South America
1930,1930-07-19 15:00:00,Group Stage,Estadio Centenario,Montevideo ,Argentina,6.0,3.0,Mexico,,Uruguay,1930,3.0,Home Win,True,False,False,Rout,Group Stage,False,9.0,1,False,False,False,False,1,South America,North America,South America
1930,1930-07-20 13:00:00,Group Stage,Estadio Centenario,Montevideo ,Brazil,4.0,0.0,Bolivia,,Uruguay,1930,4.0,Home Win,True,False,False,Rout,Group Stage,False,4.0,1,False,False,False,False,1,South America,South America,South America
1930,1930-07-20 15:00:00,Group Stage,Estadio Centenario,Montevideo ,Paraguay,1.0,0.0,Belgium,,Uruguay,1930,1.0,Home Win,True,False,False,Narrow,Group Stage,False,1.0,1,False,False,False,False,1,South America,Europe,South America
1930,1930-07-21 14:50:00,Group Stage,Estadio Centenario,Montevideo ,Uruguay,4.0,0.0,Romania,,Uruguay,1930,4.0,Home Win,True,False,False,Rout,Group Stage,False,4.0,1,True,False,False,False,1,South America,Europe,South America
