Tournament_Year,Match_Stage,Team_A,Team_B,Shooter_Team,Shooter_Name,Goalkeeper_Name,Kick_Number,Team_Kick_Number,Score_Before_Kick,Is_Must_Score,Is_Winning_Kick,Shoot_Outcome,Match_Key,Shootout_Length,Is_Goal,Is_Must_Score_Bool,Sudden_Death_Flag
1982,Semi-finals,Germany FR,France,France,Alain Giresse,Harald Schumacher,1,1,0-0,No,No,Goal,"(1982, 'Semi-finals', 'Germany FR', 'France')",12,True,False,False
1982,Semi-finals,Germany FR,France,Germany FR,Manfred Kaltz,Jean-Luc Ettori,2,1,0-1,No,No,Goal,"(1982, 'Semi-finals', 'Germany FR', 'France')",12,True,False,False
1982,Semi-finals,Germany FR,France,France,Manuel Amoros,Harald Schumacher,3,2,1-1,No,No,Goal,"(1982, 'Semi-finals', 'Germany FR', 'France')",12,True,False,False
1982,Semi-finals,Germany FR,France,Germany FR,Paul Breitner,Jean-Luc Ettori,4,2,1-2,No,No,Goal,"(1982, 'Semi-finals', 'Germany FR', 'France')",12,True,False,False
1982,Semi-finals,Germany FR,France,France,Dominique Rocheteau,Harald Schumacher,5,3,2-2,No,No,Goal,"(1982, 'Semi-finals', 'Germany FR', 'France')",12,True,False,False
1982,Semi-finals,Germany FR,France,Germany FR,Uli Stielike,Jean-Luc Ettori,6,3,2-3,No,No,Saved,"(1982, 'Semi-finals', 'Germany FR', 'France')",12,False,False,False
1982,Semi-finals,Germany FR,France,France,Didier Six,Harald Schumacher,7,4,2-3,No,No,Saved,"(1982, 'Semi-finals', 'Germany FR', 'France')",12,False,False,False
1982,Semi-finals,Germany FR,France,Germany FR,Pierre Littbarski,Jean-Luc Ettori,8,4,2-3,No,No,Goal,"(1982, 'Semi-finals', 'Germany FR', 'France')",12,True,False,False
1982,Semi-finals,Germany FR,France,France,Michel Platini,Harald Schumacher,9,5,3-3,No,No,Goal,"(1982, 'Semi-finals', 'Germany FR', 'France')",12,True,False,False
1982,Semi-finals,Germany FR,France,Germany FR,Karl-Heinz Rummenigge,Jean-Luc Ettori,10,5,3-4,Yes,No,Goal,"(1982, 'Semi-finals', 'Germany FR', 'France')",12,True,True,False
1982,Semi-finals,Germany FR,France,France,Maxime Bossis,Harald Schumacher,11,6,4-4,No,No,Saved,"(1982, 'Semi-finals', 'Germany FR', 'France')",12,False,False,True
1982,Semi-finals,Germany FR,France,Germany FR,Horst Hrubesch,Jean-Luc Ettori,12,6,4-4,No,Yes,Goal,"(1982, 'Semi-finals', 'Germany FR', 'France')",12,True,False,True
1986,Quarter-finals,Belgium,Spain,Belgium,Franky Vercauteren,Andoni Zubizarreta,1,1,0-0,No,No,Goal,"(1986, 'Quarter-finals', 'Belgium', 'Spain')",9,True,False,False
1986,Quarter-finals,Belgium,Spain,Spain,Señor,Jean-Marie Pfaff,2,1,1-0,No,No,Goal,"(1986, 'Quarter-finals', 'Belgium', 'Spain')",9,True,False,False
1986,Quarter-finals,Belgium,Spain,Belgium,Enzo Scifo,Andoni Zubizarreta,3,2,1-1,No,No,Goal,"(1986, 'Quarter-finals', 'Belgium', 'Spain')",9,True,False,False
1986,Quarter-finals,Belgium,Spain,Spain,Eloy Olaya,Jean-Marie Pfaff,4,2,1-2,No,No,Saved,"(1986, 'Quarter-finals', 'Belgium', 'Spain')",9,False,False,False
1986,Quarter-finals,Belgium,Spain,Belgium,Hugo Broos,Andoni Zubizarreta,5,3,1-2,No,No,Goal,"(1986, 'Quarter-finals', 'Belgium', 'Spain')",9,True,False,False
1986,Quarter-finals,Belgium,Spain,Spain,Chendo,Jean-Marie Pfaff,6,3,1-3,No,No,Goal,"(1986, 'Quarter-finals', 'Belgium', 'Spain')",9,True,False,False
1986,Quarter-finals,Belgium,Spain,Belgium,Stephane Demol,Andoni Zubizarreta,7,4,2-3,No,No,Goal,"(1986, 'Quarter-finals', 'Belgium', 'Spain')",9,True,False,False
