Country,Matches_Played,Win_Pct,Goal_Difference_Total,Titles,Continent,Team_Strength_Index
Algeria,15,0.2,-11.0,0,Africa,17.022061482820977
Angola,3,0.0,-1.0,0,Africa,6.685714285714285
Argentina,94,0.5531914893617021,58.0,2,South America,65.13153784002156
Australia,24,0.20833333333333334,-19.0,0,Oceania,16.15274261603376
Austria,31,0.41935483870967744,-5.0,0,Europe,31.267456104532464
Belgium,57,0.42105263157894735,2.0,0,Europe,32.56975349766822
Bolivia,6,0.0,-19.0,0,South America,3.5999999999999996
Bosnia and Herzegovina,7,0.2857142857142857,-3.0,0,Europe,23.55804701627487
Brazil,119,0.6638655462184874,135.0,4,South America,100.0
Bulgaria,26,0.11538461538461539,-31.0,0,Europe,8.495145360968147
Cameroon,26,0.19230769230769232,-25.0,0,Africa,14.158575601613578
Canada,11,0.18181818181818182,-7.0,0,North America,16.61226368568141
Cape Verde,4,0.0,-1.0,0,Africa,6.685714285714285
Chile,33,0.3333333333333333,-9.0,0,South America,25.398673899939723
China PR,3,0.0,-9.0,0,Asia,5.314285714285714
Colombia,26,0.46153846153846156,6.0,0,South America,35.6948671581583
Costa Rica,21,0.2857142857142857,-17.0,0,North America,21.158047016274868
Croatia,34,0.4411764705882353,9.0,0,Europe,34.98227848101266
Cuba,3,0.3333333333333333,-7.0,0,North America,25.74153104279687
Curaçao,3,0.0,-8.0,0,North America,5.485714285714286
Czechia,6,0.16666666666666666,-5.0,0,Europe,16.042194092827007
Czechoslovakia,30,0.36666666666666664,-1.0,0,Europe,28.778541289933695
DR Congo,3,0.0,-2.0,0,Africa,6.514285714285714
Denmark,23,0.391304347826087,2.0,0,Europe,30.777325261419925
Dutch East Indies,1,0.0,-6.0,0,Asia,5.828571428571428
Ecuador,17,0.35294117647058826,-2.0,0,South America,27.780108499095846
Egypt,12,0.08333333333333333,-6.0,0,Africa,10.84966847498493
El Salvador,6,0.0,-21.0,0,North America,3.257142857142857
England,81,0.4691358024691358,44.0,1,Europe,50.16691670573527
France,80,0.55,58.0,2,Europe,64.93924050632913
German DR,6,0.3333333333333333,0.0,0,Europe,26.94153104279686
Germany,54,0.6296296296296297,54.0,1,Europe,61.55146339829884
Germany FR,62,0.5806451612903226,54.0,3,Europe,73.59999416671528
Ghana,18,0.3333333333333333,-6.0,0,Africa,25.91295961422544
Greece,10,0.2,-15.0,0,Europe,16.336347197106694
Haiti,6,0.0,-18.0,0,North America,3.7714285714285714
Honduras,9,0.0,-11.0,0,North America,4.9714285714285715
Hungary,32,0.46875,30.0,0,Europe,40.24367088607595
Iceland,3,0.0,-3.0,0,Europe,6.342857142857143
Iran,21,0.14285714285714285,-18.0,0,Asia,12.379023508137434
Iraq,5,0.0,-11.0,0,Asia,4.9714285714285715
Israel,3,0.0,-2.0,0,Asia,6.514285714285714
Italy,83,0.5421686746987951,51.0,3,Europe,70.76737837425652
Ivory Coast,13,0.38461538461538464,0.0,0,Africa,30.031436917512867
Jamaica,3,0.3333333333333333,-6.0,0,North America,25.91295961422544
Japan,29,0.27586206896551724,-5.0,0,Asia,22.62156263640332
Jordan,1,0.0,-2.0,0,Asia,6.514285714285714
